2026-09-21 10:29:57.024 +05 [8324] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-21 10:29:57.025 +05 [8324] LOG:  listening on IPv4 address "127.0.0.1", port 55439
2026-09-21 10:29:57.105 +05 [16640] LOG:  database system was shut down at 2026-09-21 10:29:23 +05
2026-09-21 10:29:57.121 +05 [8324] LOG:  database system is ready to accept connections
2026-09-21 10:30:16.563 +05 [17208] ERROR:  value "9223372036854775807" is out of range for type integer
2026-09-21 10:30:16.563 +05 [17208] CONTEXT:  unnamed portal parameter $4 = '...'
2026-09-21 10:30:16.563 +05 [17208] STATEMENT:  select count(*) as aggregate from "participants" where "deletion_requested_at" is null and "created_at" >= $1 and "created_at" < $2 and "recording_count" between $3 and $4
2026-09-21 10:30:16.564 +05 [17208] ERROR:  current transaction is aborted, commands ignored until end of transaction block
2026-09-21 10:30:16.564 +05 [17208] STATEMENT:  DEALLOCATE pdo_stmt_00000056
2026-09-21 10:34:57.096 +05 [12496] LOG:  checkpoint starting: time
2026-09-21 10:37:02.378 +05 [12496] LOG:  checkpoint complete: wrote 1157 buffers (7.1%), wrote 4 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=125.065 s, sync=0.164 s, total=125.282 s; sync files=489, longest=0.011 s, average=0.001 s; distance=6214 kB, estimate=6214 kB; lsn=0/1E02C88, redo lsn=0/1E02BF8
2026-09-21 10:44:57.433 +05 [12496] LOG:  checkpoint starting: time
2026-09-21 10:45:24.244 +05 [12496] LOG:  checkpoint complete: wrote 245 buffers (1.5%), wrote 4 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=26.719 s, sync=0.071 s, total=26.812 s; sync files=140, longest=0.011 s, average=0.001 s; distance=1547 kB, estimate=5747 kB; lsn=0/1FAE980, redo lsn=0/1F85988
2026-09-21 10:49:57.259 +05 [12496] LOG:  checkpoint starting: time
2026-09-21 10:50:21.213 +05 [12496] LOG:  checkpoint complete: wrote 222 buffers (1.4%), wrote 4 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=23.867 s, sync=0.059 s, total=23.955 s; sync files=142, longest=0.010 s, average=0.001 s; distance=1432 kB, estimate=5316 kB; lsn=0/20EBC78, redo lsn=0/20EBBE8
